SiteName,Syear,Eyear,Source,srfdata_dir,srfdata_name,metdata_dir,metdata_name,IGBP_CLASS,longitude,latitude
PL-wet,2004,2005,LaThuile,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,PL-wet_2004-2005_LaThuile_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,PL-wet_2004-2005_LaThuile_Met.nc,11,16.3094,52.7621
PT-Mi2,2005,2006,LaThuile,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,PT-Mi2_2005-2006_LaThuile_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,PT-Mi2_2005-2006_LaThuile_Met.nc,10,-8.0245,38.4765
RU-Fyo,2003,2014,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,RU-Fyo_2003-2014_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,RU-Fyo_2003-2014_FLUXNET2015_Met.nc,1,32.922,56.4615
SD-Dem,2005,2009,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,SD-Dem_2005-2009_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,SD-Dem_2005-2009_FLUXNET2015_Met.nc,9,30.4783,13.2828
US-AR1,2010,2012,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,US-AR1_2010-2012_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,US-AR1_2010-2012_FLUXNET2015_Met.nc,10,-99.4199,36.4267
US-AR2,2010,2011,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,US-AR2_2010-2011_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,US-AR2_2010-2011_FLUXNET2015_Met.nc,10,-99.5975,36.6357
US-ARM,2003,2012,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,US-ARM_2003-2012_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,US-ARM_2003-2012_FLUXNET2015_Met.nc,12,-97.4888,36.6058
US-Aud,2003,2005,LaThuile,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,US-Aud_2003-2005_LaThuile_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,US-Aud_2003-2005_LaThuile_Met.nc,10,-110.5092,31.5907
US-Bkg,2005,2006,LaThuile,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,US-Bkg_2005-2006_LaThuile_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,US-Bkg_2005-2006_LaThuile_Met.nc,10,-96.8361,44.3452
US-Bo1,1997,2006,LaThuile,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,US-Bo1_1997-2006_LaThuile_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,US-Bo1_1997-2006_LaThuile_Met.nc,12,-88.2903,40.0061
US-FPe,2000,2006,LaThuile,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,US-FPe_2000-2006_LaThuile_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,US-FPe_2000-2006_LaThuile_Met.nc,10,-105.1018,48.3077
US-GLE,2009,2014,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,US-GLE_2009-2014_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,US-GLE_2009-2014_FLUXNET2015_Met.nc,1,-106.2398,41.3665
US-Goo,2004,2006,LaThuile,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,US-Goo_2004-2006_LaThuile_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,US-Goo_2004-2006_LaThuile_Met.nc,10,-89.8734,34.2546
US-Ho1,1996,2004,LaThuile,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,US-Ho1_1996-2004_LaThuile_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,US-Ho1_1996-2004_LaThuile_Met.nc,1,-68.7401,45.2041
